,Username,Konten,Lokasi
0,arek0218,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa https://t.co/YvV0EAkZ5Y
@cakimiNOW 
@DPP_PKB",
1,AndiniSesilia,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
2,IsmailMangngaga,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa
https://t.co/cWXoUqA3WA","Sulawesi Selatan, Indonesia"
3,Emerald72063957,"@detikcom Semoga segera deklarasi, kalau masih tarik ulur, dikhwatirkan cak Imin angkat koper...🙈🙈🙈",
4,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9s9pBtaK28,
5,ratushafira2,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
6,AnastiDina,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
7,Mandutptr,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" ucap Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",
8,LeonaSisca,"“Sampai sekarang Prabowo sendiri masih belum tahu siapa cawapresnya, meskipun di koalisi Kebangkitan Indonesia Raya ada nama Cak Imin,"" kata Igor.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
9,KangFathanNow,"Peringati Isra Miraj, Cak Imin Doakan Umat Islam Kuat Menata Bangsa 
https://t.co/WZ5qGEJ4YC",Indonesia
